motif	n	apex_x	apex_y_channel_width	se_apex_x	se_apex_y	apex_x_lo	apex_x_hi	apex_y_lo	apex_y_hi	pi_enrichment	enrichment_fold	LR	p_chi2	p_perm	delta_aic	loglik_full	loglik_null	status	q_chi2
DNase_example_Bias_TCC	37398	3.1781140014120086	1.1448631748901281	0.42875396997652876	0.8900464027960502	2.3377562202580124	4.018471782566005	-0.5996277745901302	2.8893541243703864	0.051124209022472535	1.293419891067206	399.74323814187665	2.516354124409841e-86	NA	393.74323814187665	-213110.18536812166	-213310.0569871926	ok	1.2581770622049205e-85
DNase_example_Bias_TGA	29111	-9.999906848364182	0.0007174523958126424	108.31433867382067	NA	-222.2960106490527	202.29619695232432	NA	NA	6.145015012393677e-06	1.0680248474084	0.035325741686392576	0.9982527387094281	NA	-5.964674258313607	-166042.79395684582	-166042.81161971667	ok	1.0
DNase_example_Bias_TGC	22582	9.999818033038554	0.0	59.68184911302205	NA	-106.97660622848466	126.97624229456176	NA	NA	6.144744086651536e-06	1.0210000987667678	0.008743484824663028	0.999783126365284	NA	-5.991256515175337	-128802.81147094391	-128802.81584268632	ok	1.0
DNase_example_Bias_TGG	24539	-10.0	0.0	9.17696732744155	0.016147389909369498	-27.986855961785437	7.986855961785437	-0.03164888422236421	0.03164888422236421	6.144174602214718e-06	0.9457533361231366	0.0	1.0	NA	-6.018823660211638	-139965.12755741863	-139965.11814558852	ok	1.0
DNase_example_Bias_TGT	15518	9.999938983880675	0.0	NA	NA	NA	NA	NA	NA	6.1449067117932876e-06	1.0853298609591657	0.013568115507951006	0.9995813693489057	NA	-5.986431884492049	-88511.28965765717	-88511.29644171492	ok	1.0
